icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
0acaab,AVA161  ,Colombia,1748406537,1748406538,-47.59825419452398,-22.96224107517925,6248.4,False,228.31,119.57,-10.73,,6621.78,,False,0
e490ef,TAM8097 ,Brazil,1748406538,1748406538,-47.23654661906795,-23.457655258348197,4914.9,False,200.34,68.77,-9.75,,5227.32,,False,0
0acaab,AVA161  ,Colombia,1748406541,1748406542,-47.59038341556935,-22.96635314351919,6202.68,False,227.61,119.52,-10.73,,6568.44,,False,0
e490ef,TAM8097 ,Brazil,1748406541,1748406542,-47.2311613605643,-23.455634015987542,4876.8,False,199.86,68.72,-10.08,,5204.46,,False,0
e490ef,TAM8097 ,Brazil,1748406543,1748406543,-47.2275179216489,-23.454462417005686,4861.56,False,199.38,68.67,-10.4,,5189.22,,False,0
0acaab,AVA161  ,Colombia,1748406543,1748406544,-47.58658846526261,-22.96831551599789,6179.82,False,227.16,119.58,-10.73,,6545.58,,False,0
e490ef,TAM8097 ,Brazil,1748406545,1748406546,-47.223471664300206,-23.45298898057097,4838.7,False,198.71,68.75,-10.4,,5158.74,,False,0
0acaab,AVA161  ,Colombia,1748406546,1748406547,-47.58064344142196,-22.971397907428795,6149.34,False,226.91,119.47,-10.73,,6515.1,,False,0
0acaab,AVA161  ,Colombia,1748406548,1748406548,-47.57826484031052,-22.972582225087216,6134.1,False,226.91,119.47,-10.73,,6499.86,,False,0
0acaab,AVA161  ,Colombia,1748406557,1748406557,-47.560117304786125,-22.982150811609337,6035.04,False,225.31,119.55,-10.73,,6393.18,,False,0
e490ef,TAM8097 ,Brazil,1748406557,1748406557,-47.202492685697514,-23.445469327493583,4686.3,False,194.32,68.73,-16.91,,5006.34,,False,0
0acaab,AVA161  ,Colombia,1748406561,1748406562,-47.552462051693496,-22.98621328748036,5989.32,False,224.86,119.61,-10.73,,6339.84,,False,0
e490ef,TAM8097 ,Brazil,1748406562,1748406562,-47.193625852276426,-23.442282867529165,4602.48,False,193.17,68.77,-18.53,,4907.28,,False,0
0acaab,AVA161  ,Colombia,1748406562,1748406563,-47.550339212902074,-22.987468422931702,5981.7,False,224.86,119.61,-10.73,,6339.84,,False,0
e490ef,TAM8097 ,Brazil,1748406563,1748406563,-47.191884580563446,-23.441675072726316,4587.24,False,193.17,68.77,-18.53,,4884.42,,False,0
0acaab,AVA161  ,Colombia,1748406565,1748406566,-47.544607631097655,-22.990394358791075,5951.22,False,224.16,119.57,-10.73,,6309.36,,False,0
e490ef,TAM8097 ,Brazil,1748406565,1748406565,-47.1880092716263,-23.44036802085967,4533.9,False,192.69,68.71,-18.86,,4846.32,,False,0
0acaab,AVA161  ,Colombia,1748406566,1748406567,-47.54254027803997,-22.991416690047686,5935.98,False,224.16,119.57,-10.73,,6286.5,,False,0
0acaab,AVA161  ,Colombia,1748406567,1748406568,-47.540601477614025,-22.992404571135296,5928.36,False,224.16,119.57,-10.73,,6278.88,,False,0
e490ef,TAM8097 ,Brazil,1748406567,1748406568,-47.18488020746245,-23.439121579956485,4495.8,False,192.69,68.71,-18.86,,4815.84,,False,0
e490ef,TAM8097 ,Brazil,1748406567,1748406567,-47.18633316510164,-23.439720996131566,4518.66,False,192.69,68.71,-18.86,,4831.08,,False,0
0acaab,AVA161  ,Colombia,1748406571,1748406572,-47.53335778948478,-22.9961541106745,5882.64,False,223.46,119.52,-10.73,,6233.16,,False,0
e490ef,TAM8097 ,Brazil,1748406571,1748406572,-47.17724262104647,-23.436311265350167,4427.22,False,192.03,68.8,-19.83,,4732.02,,False,0
0acaab,AVA161  ,Colombia,1748406572,1748406573,-47.53122218403343,-22.99747563413129,5875.02,False,223.01,119.58,-10.73,,6225.54,,False,0
e490ef,TAM8097 ,Brazil,1748406572,1748406573,-47.17577786899843,-23.43592749864158,4404.36,False,192.03,68.8,-19.83,,4709.16,,False,0
e490ef,TAM8097 ,Brazil,1748406576,1748406577,-47.16837866273934,-23.43321230161558,4328.16,False,192.03,68.8,-21.13,,4625.34,,False,0
0acaab,AVA161  ,Colombia,1748406577,1748406577,-47.523514189946276,-23.0014072079322,5829.3,False,222.31,119.53,-10.4,,6179.82,,False,0
0acaab,AVA161  ,Colombia,1748406577,1748406578,-47.521696350847066,-23.002343834466156,5821.68,False,222.31,119.53,-10.4,,6164.58,,False,0
e490ef,TAM8097 ,Brazil,1748406578,1748406578,-47.16530393745944,-23.43214089253506,4297.68,False,192.03,68.8,-21.46,,4602.48,,False,0
e490ef,TAM8097 ,Brazil,1748406581,1748406582,-47.15927483389679,-23.42998563719715,4229.1,False,191.73,68.6,-20.48,,4503.42,,False,0
0acaab,AVA161  ,Colombia,1748406582,1748406582,-47.51378265457794,-23.006493901797402,5775.96,False,221.86,119.6,-10.4,,6126.48,,False,0
e490ef,TAM8097 ,Brazil,1748406582,1748406583,-47.157562720098696,-23.42939696403354,4213.86,False,191.73,68.6,-19.83,,4480.56,,False,0
0acaab,AVA161  ,Colombia,1748406583,1748406583,-47.512235561739345,-23.007254273825595,5768.34,False,221.61,119.48,-10.4,,6118.86,,False,0
e490ef,TAM8097 ,Brazil,1748406587,1748406588,-47.14881319623047,-23.426175155942044,4130.04,False,191.73,68.6,-17.88,,4411.98,,False,0
0acaab,AVA161  ,Colombia,1748406588,1748406588,-47.50250522803306,-23.012404225200243,5715.0,False,220.91,119.43,-10.4,,6073.14,,False,0
0acaab,AVA161  ,Colombia,1748406592,1748406592,-47.4958373427829,-23.01586197845857,5676.9,False,220.46,119.5,-10.73,,6012.18,,False,0
e490ef,TAM8097 ,Brazil,1748406592,1748406592,-47.14214545570848,-23.42378561577661,4061.46,False,190.59,68.63,-16.91,,4343.4,,False,0
0acaab,AVA161  ,Colombia,1748406592,1748406592,-47.49376459557813,-23.017080551409624,5661.66,False,220.21,119.38,-10.73,,5996.94,,False,0
e490ef,TAM8097 ,Brazil,1748406593,1748406593,-47.140109672186014,-23.423134778370557,4046.22,False,190.59,68.63,-16.91,,4328.16,,False,0
0acaab,AVA161  ,Colombia,1748406598,1748406598,-47.484388707633286,-23.02195750010521,5608.32,False,219.31,119.51,-10.4,,5943.6,,False,0
e490ef,TAM8097 ,Brazil,1748406598,1748406598,-47.131595277369826,-23.41995777926423,3962.4,False,189.26,68.81,-17.88,,4236.72,,False,0
0acaab,AVA161  ,Colombia,1748406598,1748406599,-47.48264148691763,-23.022828172611806,5600.7,False,219.31,119.51,-10.4,,5935.98,,False,0
e490ef,TAM8097 ,Brazil,1748406599,1748406599,-47.129209333286504,-23.419101298904646,3931.92,False,189.26,68.81,-18.53,,4213.86,,False,0
0acaab,AVA161  ,Colombia,1748406603,1748406603,-47.475013092836086,-23.026884523644853,5554.98,False,218.61,119.46,-10.4,,5882.64,,False,0
e490ef,TAM8097 ,Brazil,1748406603,1748406603,-47.12222902546774,-23.416689003243327,3855.72,False,188.78,68.75,-22.11,,4145.28,,False,0
